,card_number,expiry_date,card_provider,date_payment_confirmed,card_number expiry_date,Unnamed: 0
24,3561965904652720.0,12/27,JCB 16 digit,2016-12-21,,
25,676243690945.0,04/31,Maestro,2013-05-04,,
26,4309100792779820.0,08/26,VISA 16 digit,2000-02-29,,
27,676171204834.0,04/27,Maestro,2016-01-08,,
28,4.39913160957941e+18,12/29,VISA 19 digit,2022-06-27,,
29,3570858203420270.0,04/30,JCB 16 digit,2018-08-28,,
30,4.39146977923357e+18,05/26,VISA 19 digit,2008-09-22,,
31,372746699011506.0,08/23,American Express,2000-01-02,,
32,4917690537535360.0,02/32,VISA 16 digit,2001-02-28,,
33,30243034466300.0,08/26,Diners Club / Carte Blanche,2018-12-25,,
34,4.23137147119981e+18,12/30,VISA 19 digit,2012-05-28,,
35,30395438700948.0,11/31,Diners Club / Carte Blanche,2020-11-09,,
36,6598063886572090.0,01/31,Discover,2015-01-30,,
37,4.7414866505665e+18,08/24,VISA 19 digit,1994-10-04,,
38,4.40473611986791e+18,02/32,VISA 19 digit,2020-11-16,,
39,3596657428943330.0,01/27,JCB 16 digit,2011-08-27,,
40,3525250472224690.0,03/32,JCB 16 digit,2020-11-29,,
41,3533372424392340.0,09/25,JCB 16 digit,1994-10-24,,
42,379248368187702.0,11/25,American Express,1995-07-03,,
43,6011999213483500.0,05/30,Discover,2018-09-28,,
44,6577916573628070.0,06/32,Discover,1996-12-13,,
45,6011481277072020.0,09/28,Discover,2013-01-07,,
46,213104310640308.0,11/23,JCB 15 digit,2001-12-04,,
47,3524567262915470.0,01/29,JCB 16 digit,2019-07-28,,
48,30469955756227.0,12/24,Diners Club / Carte Blanche,2007-05-18,,
49,3596537999261120.0,04/30,JCB 16 digit,2022-09-01,,
50,4232257343975910.0,07/30,VISA 16 digit,2022-10-16,,
51,213160390502230.0,08/24,JCB 15 digit,2005-09-11,,
52,4370302597702060.0,02/25,VISA 16 digit,2005-09-12,,
53,2444192643100880.0,09/29,Mastercard,2022-10-21,,
54,3516546397039860.0,12/24,JCB 16 digit,2002-04-04,,
0,4.07148742951517e+18,10/27,VISA 19 digit,1995-02-01,,
1,348156464920546.0,12/23,American Express,1997-09-29,,
2,4507910061773710.0,10/23,VISA 16 digit,2020-12-19,,
3,3517430957247810.0,01/25,JCB 16 digit,2019-04-26,,
4,30008625223703.0,08/28,Diners Club / Carte Blanche,2004-02-18,,
5,3565417923483980.0,11/32,JCB 16 digit,1992-12-27,,
6,379520443574272.0,08/28,American Express,2017-04-02,,
7,36826662341342.0,02/23,Diners Club / Carte Blanche,1993-12-09,,
8,4.1900035838257e+18,07/24,VISA 19 digit,2010-04-05,,
9,3512307667001830.0,09/24,JCB 16 digit,2014-04-17,,
10,571591974274.0,08/26,Maestro,2009-12-20,,
11,4407604367832.0,11/25,VISA 13 digit,2017-12-05,,
12,586875261016.0,01/23,Maestro,2008-04-26,,
13,4559224651881590.0,06/29,VISA 16 digit,2020-05-11,,
14,4.15069156821527e+18,07/27,VISA 19 digit,1995-02-19,,
15,6571996787546750.0,08/25,Discover,2015-07-25,,
16,4894324177156180.0,10/28,VISA 16 digit,2004-08-04,,
17,4156305648877000.0,04/31,VISA 16 digit,2013-03-27,,
18,3511656229810460.0,08/23,JCB 16 digit,2015-01-12,,
19,4112267552200310.0,09/25,VISA 16 digit,1999-08-06,,
20,639024551066.0,05/26,Maestro,2015-10-10,,
21,3583196742015730.0,01/26,JCB 16 digit,1996-02-10,,
22,4207683006651.0,08/25,VISA 13 digit,2004-02-08,,
23,30390348394155.0,04/31,Diners Club / Carte Blanche,1995-09-05,,
24,630428627552.0,09/27,Maestro,2012-01-22,,
25,3541783293840350.0,03/26,JCB 16 digit,2001-04-05,,
26,4408081490576.0,08/29,VISA 13 digit,1995-04-23,,
27,2266525507804510.0,09/23,Mastercard,2004-05-20,,
28,4131038987219.0,01/23,VISA 13 digit,2013-06-03,,
29,3526461845821070.0,12/28,JCB 16 digit,1993-01-17,,
30,501835687408.0,05/31,Maestro,2004-04-06,,
31,30169194059736.0,10/31,Diners Club / Carte Blanche,2019-08-04,,
32,6508796623872920.0,01/28,Discover,2013-07-11,,
33,4.28943412662683e+18,04/26,VISA 19 digit,2001-02-23,,
34,4105572296065470.0,09/28,VISA 16 digit,2012-07-26,,
35,3557660923865100.0,12/24,JCB 16 digit,2020-12-31,,
36,213141359529240.0,04/25,JCB 15 digit,2020-02-19,,
37,4.67315915979889e+18,11/22,VISA 19 digit,1998-06-02,,
38,4965910121764160.0,12/26,VISA 16 digit,1999-05-29,,
39,6011364252757660.0,08/28,Discover,2014-06-07,,
40,3576379314307040.0,11/25,JCB 16 digit,2013-09-07,,
41,349857142115990.0,11/27,American Express,2016-01-01,,
42,2711133034056970.0,05/25,Mastercard,2002-05-24,,
43,676310751794.0,11/30,Maestro,2005-01-31,,
44,30274732830562.0,01/23,Diners Club / Carte Blanche,2016-01-06,,
45,30094767979013.0,07/30,Diners Club / Carte Blanche,2002-03-12,,
46,581096288799.0,03/26,Maestro,2010-12-02,,
47,180036147627554.0,08/24,JCB 15 digit,2017-01-09,,
48,2618902182563420.0,09/24,Mastercard,2018-12-20,,
49,370248825044743.0,07/26,American Express,2011-03-11,,
50,4629284835297.0,06/32,VISA 13 digit,2014-04-21,,
51,4240404867131650.0,06/27,VISA 16 digit,2021-09-03,,
52,30452335333628.0,12/25,Diners Club / Carte Blanche,2016-08-18,,
53,6571287817064260.0,09/27,Discover,2001-12-04,,
54,30214653291253.0,11/29,Diners Club / Carte Blanche,2011-11-14,,
0,213198151700254.0,04/24,JCB 15 digit,2020-08-10,,
1,180069868690766.0,10/30,JCB 15 digit,2009-12-30,,
2,6517025219868250.0,11/28,Discover,1997-07-01,,
3,4476842572068530.0,07/30,VISA 16 digit,2013-10-30,,
4,4.53602720430888e+18,03/27,VISA 19 digit,2005-08-31,,
5,6011777509562700.0,05/26,Discover,2006-12-04,,
6,30035817967326.0,12/27,Diners Club / Carte Blanche,2000-05-14,,
7,4243077498564870.0,02/25,VISA 16 digit,2021-04-13,,
8,6011586098863630.0,07/32,Discover,2021-04-21,,
9,4743126801654.0,01/31,VISA 13 digit,2003-11-07,,
10,502032999927.0,04/28,Maestro,2018-10-06,,
11,4544593262390900.0,07/23,VISA 16 digit,2017-03-18,,
12,2710339323163390.0,11/28,Mastercard,2011-11-15,,
13,349392298403735.0,04/26,American Express,1993-11-26,,
14,3533594317540840.0,07/28,JCB 16 digit,2002-01-16,,
15,4774088490379480.0,01/26,VISA 16 digit,2005-10-26,,
16,3594282174797690.0,12/30,JCB 16 digit,2022-10-30,,
17,4.68819729131865e+18,02/29,VISA 19 digit,2003-08-26,,
18,3574401461193730.0,08/28,JCB 16 digit,2020-06-26,,
19,4.76473642195359e+18,02/32,VISA 19 digit,2019-05-17,,
20,4.94181240382584e+18,11/31,VISA 19 digit,2016-10-25,,
21,2276199516943440.0,05/29,Mastercard,2022-10-10,,
22,213147973007315.0,02/32,JCB 15 digit,2010-11-27,,
23,5167868833126240.0,03/31,Mastercard,2002-11-11,,
24,3539927638050570.0,11/24,JCB 16 digit,2002-05-28,,
25,6011836768206400.0,10/32,Discover,2015-03-14,,
26,4395566564641230.0,05/27,VISA 16 digit,2004-05-01,,
27,4344755525043.0,07/29,VISA 13 digit,1994-05-06,,
28,675989263354.0,01/31,Maestro,2015-12-06,,
29,30517255552942.0,01/31,Diners Club / Carte Blanche,2003-08-29,,
30,4.25600485311445e+18,05/28,VISA 19 digit,2010-10-13,,
31,4046154493007610.0,12/29,VISA 16 digit,2005-10-14,,
32,4.86942641582576e+18,11/31,VISA 19 digit,1993-06-14,,
33,3522453082642360.0,11/28,JCB 16 digit,2008-06-08,,
34,4395448719709390.0,05/32,VISA 16 digit,2022-10-09,,
35,341572243952070.0,05/26,American Express,2001-06-12,,
36,4372888505325500.0,08/26,VISA 16 digit,2001-01-09,,
37,4198467938694450.0,06/24,VISA 16 digit,2007-08-23,,
38,4526088591458.0,01/24,VISA 13 digit,2015-03-09,,
39,4775060981031440.0,09/28,VISA 16 digit,2018-02-11,,
40,2291071373356040.0,01/26,Mastercard,2016-10-07,,
41,4.46499030067699e+18,11/28,VISA 19 digit,2003-07-01,,
42,4.83752899928907e+18,12/22,VISA 19 digit,1996-08-16,,
43,4318115254594660.0,07/32,VISA 16 digit,2008-11-29,,
44,3555550007537800.0,02/31,JCB 16 digit,2010-06-19,,
45,36519281516606.0,11/27,Diners Club / Carte Blanche,2012-05-18,,
46,4776534311693190.0,11/28,VISA 16 digit,1996-06-01,,
47,6586830454221090.0,06/32,Discover,1996-08-22,,
48,3562562524025920.0,09/31,JCB 16 digit,2017-02-25,,
49,180033000039001.0,11/23,JCB 15 digit,2000-01-28,,
50,2450459910411570.0,06/32,Mastercard,2021-11-12,,
51,571422596619.0,01/25,Maestro,2018-12-14,,
52,4337414786285150.0,12/28,VISA 16 digit,1998-04-03,,
53,4065932197469.0,03/31,VISA 13 digit,2000-08-16,,
54,30252880027124.0,06/32,Diners Club / Carte Blanche,1998-12-02,,
0,584209639734.0,05/27,Maestro,2003-10-09,,
1,4430249535209.0,03/32,VISA 13 digit,2001-03-14,,
2,371548656653242.0,05/23,American Express,1994-09-10,,
3,3586312782638990.0,09/23,JCB 16 digit,1998-01-17,,
4,4314407106401.0,09/29,VISA 13 digit,2014-06-18,,
5,180059470174333.0,07/31,JCB 15 digit,1993-05-10,,
6,4.43875183647353e+18,06/32,VISA 19 digit,2018-01-20,,
7,213160129344623.0,06/24,JCB 15 digit,2011-07-14,,
8,4906399635493.0,08/32,VISA 13 digit,2012-06-02,,
9,575932880462.0,06/32,Maestro,2019-03-31,,
10,3540113305937590.0,03/28,JCB 16 digit,1998-04-13,,
11,213115775090680.0,04/31,JCB 15 digit,2001-03-04,,
12,6504427642488660.0,09/32,Discover,2000-04-15,,
13,213170299378111.0,05/26,JCB 15 digit,2018-12-16,,
14,4.91700771186266e+18,03/31,VISA 19 digit,2021-02-25,,
15,3550589572198780.0,09/25,JCB 16 digit,2014-02-18,,
16,4649089976246710.0,04/30,VISA 16 digit,2022-10-10,,
17,4636436487587690.0,02/26,VISA 16 digit,2016-12-01,,
18,580483028297.0,08/28,Maestro,1995-10-09,,
19,180032022521137.0,08/25,JCB 15 digit,1994-09-28,,
20,6011823274321250.0,09/27,Discover,2001-03-09,,
21,4627566063010130.0,02/31,VISA 16 digit,2015-07-07,,
22,4189415696506290.0,03/24,VISA 16 digit,2018-05-27,,
23,30278811520143.0,09/26,Diners Club / Carte Blanche,2022-07-12,,
24,30313427574711.0,07/28,Diners Club / Carte Blanche,1998-06-19,,
25,4525102532209460.0,12/28,VISA 16 digit,1997-07-23,,
26,342321713982871.0,04/27,American Express,1995-06-03,,
27,4055162320063060.0,04/31,VISA 16 digit,2010-04-07,,
28,38272479501067.0,12/24,Diners Club / Carte Blanche,2008-07-15,,
29,4532606967295020.0,11/32,VISA 16 digit,2003-04-10,,
30,639051773773.0,06/30,Maestro,2006-05-05,,
31,2578397044790700.0,10/30,Mastercard,2005-11-27,,
32,6579424159523770.0,11/29,Discover,2002-05-23,,
33,4.53853079409407e+18,09/32,VISA 19 digit,2022-10-04,,
34,4801338875617.0,03/29,VISA 13 digit,2021-02-05,,
35,6011931767401280.0,07/26,Discover,2008-03-20,,
36,4653614751124940.0,06/24,VISA 16 digit,2019-12-18,,
37,4957235557312160.0,08/23,VISA 16 digit,2015-12-21,,
38,675951484236.0,03/23,Maestro,1996-02-18,,
39,630439124938.0,12/23,Maestro,2001-06-21,,
40,4139827249535.0,05/24,VISA 13 digit,2021-06-08,,
41,2370418359032840.0,10/30,Mastercard,2001-03-23,,
42,6011303478437300.0,10/28,Discover,2017-01-10,,
43,30471848613904.0,02/28,Diners Club / Carte Blanche,2015-01-20,,
44,30161977629736.0,02/30,Diners Club / Carte Blanche,2011-05-23,,
45,213165435806934.0,04/26,JCB 15 digit,2005-11-10,,
46,6011983006161660.0,06/23,Discover,1998-08-02,,
47,3571869504439300.0,10/31,JCB 16 digit,2012-12-05,,
48,213163758399181.0,02/26,JCB 15 digit,2020-02-27,,
49,3527319237477570.0,09/30,JCB 16 digit,2010-04-15,,
50,4754615155340060.0,09/27,VISA 16 digit,2008-05-21,,
51,502009805537.0,06/25,Maestro,2006-12-07,,
52,3558225256264340.0,05/30,JCB 16 digit,2019-02-18,,
53,6011639470517770.0,08/31,Discover,2002-09-28,,
54,180041037685050.0,07/30,JCB 15 digit,2022-07-31,,
0,3511423384482470.0,12/29,JCB 16 digit,2022-11-20,,
1,30291778328988.0,07/23,Diners Club / Carte Blanche,2001-04-09,,
2,4946968523714540.0,05/26,VISA 16 digit,2009-12-22,,
3,4920472238866060.0,09/28,VISA 16 digit,2006-10-02,,
4,4025523008149380.0,04/28,VISA 16 digit,2004-03-23,,
5,213168750698191.0,08/31,JCB 15 digit,2005-04-01,,
6,4080569894490980.0,08/28,VISA 16 digit,2012-08-21,,
7,6577030067253790.0,06/29,Discover,2018-03-24,,
8,4772825815276100.0,12/27,VISA 16 digit,2002-05-07,,
9,4599054036907.0,05/26,VISA 13 digit,2022-01-19,,
10,213189466726514.0,06/29,JCB 15 digit,2000-02-01,,
11,3549648307002720.0,03/24,JCB 16 digit,2009-05-20,,
12,343271436320553.0,11/25,American Express,1995-04-11,,
13,30502794431543.0,02/24,Diners Club / Carte Blanche,2021-10-16,,
14,3545586969323020.0,10/32,JCB 16 digit,2017-03-15,,
15,3524307795708730.0,12/26,JCB 16 digit,1997-06-18,,
16,349672630124945.0,02/25,American Express,2005-06-26,,
17,4338956399109.0,02/25,VISA 13 digit,2004-11-07,,
18,676198575166.0,04/32,Maestro,2014-11-28,,
19,371209459469829.0,02/23,American Express,1992-12-24,,
20,4.64660854408669e+18,10/31,VISA 19 digit,2011-01-02,,
21,6011040876316420.0,12/23,Discover,2002-08-29,,
22,4555447378967770.0,08/25,VISA 16 digit,1996-09-22,,
23,3544044070591100.0,05/27,JCB 16 digit,2006-10-03,,
24,4500035567058450.0,05/24,VISA 16 digit,1998-07-10,,
25,3530193189033980.0,09/26,JCB 16 digit,2008-01-15,,
26,4718527782513.0,11/28,VISA 13 digit,1999-02-07,,
27,6011432003551530.0,04/32,Discover,1993-11-29,,
28,4.39717721338383e+18,02/30,VISA 19 digit,1999-12-03,,
29,4897849385220230.0,10/23,VISA 16 digit,2019-10-29,,
30,2260112428829790.0,08/25,Mastercard,2005-07-14,,
31,2554927243649490.0,08/27,Mastercard,2011-08-19,,
32,38848011820949.0,05/25,Diners Club / Carte Blanche,2015-05-12,,
33,4.71506373791125e+18,08/25,VISA 19 digit,2001-12-10,,
34,213138591278073.0,05/32,JCB 15 digit,2017-10-26,,
35,4526987381883360.0,02/24,VISA 16 digit,2008-02-01,,
36,3591615255529960.0,07/28,JCB 16 digit,2019-10-27,,
37,342265899594275.0,06/23,American Express,2001-03-26,,
38,3530897906041880.0,10/32,JCB 16 digit,2019-11-21,,
39,213159290670139.0,05/28,JCB 15 digit,2022-09-08,,
40,3535154492651640.0,01/23,JCB 16 digit,2013-02-09,,
41,3594730877960940.0,09/23,JCB 16 digit,2003-02-21,,
42,4549791119771.0,07/26,VISA 13 digit,2022-06-13,,
43,2712222215404230.0,05/27,Mastercard,2009-08-23,,
44,4285346187607950.0,11/31,VISA 16 digit,2010-04-22,,
45,4391335724042.0,01/23,VISA 13 digit,2018-08-03,,
46,4320307940427.0,11/27,VISA 13 digit,2008-12-31,,
47,213164736852705.0,12/23,JCB 15 digit,1997-08-05,,
48,4.56378093452657e+18,11/31,VISA 19 digit,2020-01-09,,
49,30158408282630.0,06/24,Diners Club / Carte Blanche,1996-06-01,,
50,4029839285641820.0,05/29,VISA 16 digit,2000-05-08,,
51,4593431078385.0,05/24,VISA 13 digit,2010-04-11,,
52,4.04497815710895e+18,01/23,VISA 19 digit,1999-08-10,,
53,3557871016240790.0,01/23,JCB 16 digit,2008-02-21,,
54,630424325425.0,06/30,Maestro,2020-07-10,,
0,4757980213749.0,11/32,VISA 13 digit,2021-03-08,,
1,6584198407217140.0,08/27,Discover,2009-09-20,,
2,30083803880244.0,08/23,Diners Club / Carte Blanche,1996-09-08,,
3,213159824954652.0,10/31,JCB 15 digit,1996-09-08,,
4,3540141901539310.0,06/25,JCB 16 digit,2009-03-01,,
5,341967592946972.0,07/29,American Express,2009-03-10,,
6,3549206767605650.0,07/27,JCB 16 digit,2009-07-21,,
7,213186444891402.0,08/26,JCB 15 digit,1993-06-21,,
8,36842813348680.0,12/27,Diners Club / Carte Blanche,2009-09-24,,
9,348079994095961.0,04/25,American Express,2012-06-08,,
10,180098402543389.0,01/25,JCB 15 digit,2008-04-19,,
11,6539693818521280.0,10/23,Discover,2001-06-04,,
12,4793331390886220.0,10/25,VISA 16 digit,1995-02-22,,
13,180075287075018.0,06/24,JCB 15 digit,2011-01-22,,
14,371697581288432.0,02/26,American Express,1993-03-01,,
15,6504563321054940.0,08/28,Discover,2009-02-03,,
16,4676278540459290.0,10/32,VISA 16 digit,1995-11-15,,
17,342833549873496.0,04/30,American Express,2010-06-10,,
18,3528319380876520.0,08/27,JCB 16 digit,2008-10-14,,
19,4082386413250650.0,09/30,VISA 16 digit,1996-07-10,,
20,4444068609342.0,04/26,VISA 13 digit,2004-05-17,,
21,4.12022537474275e+18,08/29,VISA 19 digit,2007-10-13,,
22,4400335139653.0,03/25,VISA 13 digit,2011-06-03,,
23,213114970297315.0,01/31,JCB 15 digit,2014-05-30,,
24,4960532336550.0,03/23,VISA 13 digit,2016-03-31,,
25,4029248890793960.0,04/23,VISA 16 digit,2020-06-27,,
26,3526199349004210.0,12/24,JCB 16 digit,1995-05-29,,
27,4936500309977.0,11/24,VISA 13 digit,2000-09-03,,
28,379468311391363.0,05/24,American Express,1993-12-12,,
29,4098453634290110.0,06/31,VISA 16 digit,1993-06-14,,
30,4880614556851860.0,04/26,VISA 16 digit,1996-09-03,,
31,3597493882924060.0,04/25,JCB 16 digit,2007-03-14,,
32,341879325248479.0,05/26,American Express,2008-10-24,,
33,213144653599760.0,01/25,JCB 15 digit,2021-05-30,,
34,3590647122780430.0,08/25,JCB 16 digit,2014-06-16,,
35,503884925986.0,01/29,Maestro,2013-11-01,,
36,180047018725302.0,09/26,JCB 15 digit,2019-09-10,,
37,180086174914383.0,11/31,JCB 15 digit,2005-05-09,,
38,6011988292983090.0,09/30,Discover,1997-01-08,,
39,4.97995467791816e+18,11/30,VISA 19 digit,2005-03-19,,
40,4.17121046907752e+18,01/25,VISA 19 digit,1998-01-19,,
41,3596198941431550.0,01/23,JCB 16 digit,1996-01-18,,
42,213109757960218.0,11/24,JCB 15 digit,2001-08-14,,
43,3587487587459940.0,07/25,JCB 16 digit,2016-03-21,,
44,3599218476492430.0,05/24,JCB 16 digit,2022-06-10,,
45,4733418410728.0,06/23,VISA 13 digit,2009-11-25,,
46,4.66284943042303e+18,04/25,VISA 19 digit,2011-07-31,,
47,6011540916810380.0,09/31,Discover,1996-03-27,,
48,4.54709182178654e+18,05/29,VISA 19 digit,1993-09-07,,
49,3506238480946970.0,05/25,JCB 16 digit,1997-04-28,,
50,2294658255310680.0,04/25,Mastercard,2019-05-29,,
51,38387484789679.0,06/28,Diners Club / Carte Blanche,1995-10-08,,
52,4137885008440000.0,01/28,VISA 16 digit,2018-11-30,,
53,561722654382.0,12/29,Maestro,1997-03-01,,
54,3533749110134450.0,06/31,JCB 16 digit,2007-04-25,,
0,30346718420152.0,04/24,Diners Club / Carte Blanche,1994-03-20,,
1,3563347911953480.0,08/28,JCB 16 digit,2013-03-30,,
2,4812956489642890.0,02/25,VISA 16 digit,1995-09-29,,
3,213194559082015.0,01/28,JCB 15 digit,2022-07-17,,
4,4858835264752.0,03/24,VISA 13 digit,2002-10-31,,
5,3550622214077050.0,02/24,JCB 16 digit,2011-11-27,,
6,372152443383335.0,01/31,American Express,2000-11-01,,
7,3569676217868130.0,01/27,JCB 16 digit,2013-01-18,,
8,30565542262767.0,07/28,Diners Club / Carte Blanche,2006-04-19,,
9,3565778701614570.0,07/31,JCB 16 digit,2006-10-02,,
10,180020361015613.0,04/24,JCB 15 digit,2016-12-21,,
11,2260412181609050.0,03/32,Mastercard,2015-08-02,,
12,4.31675592513451e+18,09/26,VISA 19 digit,2010-11-09,,
13,378939849087039.0,04/31,American Express,2006-04-16,,
14,4460264562994.0,01/24,VISA 13 digit,1995-12-22,,
15,4906597494303710.0,05/27,VISA 16 digit,1994-01-09,,
16,2719969020779860.0,04/25,Mastercard,2008-03-13,,
17,4643773794808.0,10/25,VISA 13 digit,2007-10-11,,
18,180055066168762.0,12/28,JCB 15 digit,2022-06-01,,
19,213171096220290.0,04/29,JCB 15 digit,2019-01-29,,
20,3543271695705150.0,08/29,JCB 16 digit,2012-05-11,,
21,30105278352118.0,08/28,Diners Club / Carte Blanche,1994-06-07,,
22,30297210880973.0,02/30,Diners Club / Carte Blanche,2005-03-02,,
23,6011543704666770.0,05/24,Discover,2010-06-17,,
24,4.63053934276664e+18,10/29,VISA 19 digit,2013-11-18,,
25,180056010081077.0,03/30,JCB 15 digit,2015-12-15,,
26,630455658991.0,02/25,Maestro,2007-06-21,,
27,2296799032617070.0,08/28,Mastercard,2011-10-17,,
28,4.7244477932738e+18,09/30,VISA 19 digit,1999-04-05,,
29,4340681141954280.0,10/29,VISA 16 digit,2013-04-16,,
30,4.36115780279573e+18,03/23,VISA 19 digit,2001-08-19,,
31,4497011006870100.0,04/30,VISA 16 digit,2019-01-13,,
32,4444864810955250.0,09/28,VISA 16 digit,1996-11-07,,
33,4497693944158810.0,10/32,VISA 16 digit,1995-06-17,,
34,2227412563104180.0,07/25,Mastercard,2000-11-16,,
35,2222017949231230.0,01/23,Mastercard,2014-09-14,,
36,6011287924618130.0,06/25,Discover,1996-01-25,,
37,3501052545741900.0,09/30,JCB 16 digit,2007-11-01,,
38,6011839042093830.0,03/24,Discover,1994-05-01,,
39,180036589992607.0,10/27,JCB 15 digit,1997-09-23,,
40,180017035554472.0,06/31,JCB 15 digit,1993-11-25,,
41,3524985717097940.0,10/24,JCB 16 digit,2009-03-23,,
42,6509501264419590.0,06/28,Discover,2003-08-17,,
43,583610203973.0,08/25,Maestro,2006-02-10,,
44,4647964998686010.0,05/30,VISA 16 digit,2018-02-04,,
45,503895302407.0,12/29,Maestro,2010-04-14,,
46,6550804651817050.0,02/23,Discover,2012-07-12,,
47,6011470451716060.0,03/30,Discover,1996-04-23,,
48,375516961400704.0,09/29,American Express,2018-12-03,,
49,4842311869168660.0,01/23,VISA 16 digit,1999-11-24,,
50,3506370440608640.0,05/26,JCB 16 digit,2001-08-04,,
51,675938353249.0,06/28,Maestro,1997-02-16,,
52,4232883831610320.0,10/31,VISA 16 digit,2009-08-11,,
53,36460297460762.0,11/22,Diners Club / Carte Blanche,1996-02-14,,
54,3587311888188730.0,07/24,JCB 16 digit,2018-10-03,,
0,4124419294685.0,07/25,VISA 13 digit,2004-04-27,,
1,6577312169923630.0,08/30,Discover,2014-12-25,,
2,4304814314301590.0,05/24,VISA 16 digit,2007-11-24,,
3,180034195271094.0,12/30,JCB 15 digit,2006-08-03,,
4,213113040407375.0,02/26,JCB 15 digit,2007-05-18,,
5,4.79200769400745e+18,10/29,VISA 19 digit,1996-10-26,,
6,4975908670838.0,07/30,VISA 13 digit,2014-11-08,,
7,565122676796.0,03/31,Maestro,2005-01-18,,
8,4052008974216910.0,10/25,VISA 16 digit,1993-11-22,,
9,347670226162008.0,01/23,American Express,1995-08-09,,
10,4412611842867420.0,03/27,VISA 16 digit,2009-06-02,,
11,347982227513059.0,06/31,American Express,2014-07-10,,
12,4.40574186407923e+18,02/25,VISA 19 digit,2003-07-22,,
13,3523340224790920.0,02/24,JCB 16 digit,2007-09-23,,
14,4209024245349180.0,04/25,VISA 16 digit,1999-07-01,,
15,180082419167317.0,05/26,JCB 15 digit,1998-11-26,,
16,4785005065340800.0,11/31,VISA 16 digit,2015-12-30,,
17,4.95816188962275e+18,01/32,VISA 19 digit,2013-09-17,,
18,213123750417837.0,08/25,JCB 15 digit,1999-06-25,,
19,30385572530839.0,04/32,Diners Club / Carte Blanche,2008-02-11,,
20,4.24478070822417e+18,05/28,VISA 19 digit,2019-09-04,,
21,6011623956448530.0,08/32,Discover,2016-12-25,,
22,2274513404916880.0,12/25,Mastercard,2014-07-18,,
23,30488576951603.0,02/32,Diners Club / Carte Blanche,2020-04-17,,
24,213116221102947.0,07/28,JCB 15 digit,2020-10-16,,
25,4241261145126020.0,06/29,VISA 16 digit,2020-09-27,,
26,4189370070319980.0,10/28,VISA 16 digit,1995-01-22,,
27,4009402137370880.0,05/24,VISA 16 digit,2012-07-23,,
28,676172473412.0,10/28,Maestro,2021-03-07,,
29,4862327902561830.0,10/32,VISA 16 digit,1999-01-26,,
30,3593376096511130.0,04/31,JCB 16 digit,2013-10-24,,
31,213131685926145.0,05/30,JCB 15 digit,1999-08-17,,
32,4911650946712.0,07/30,VISA 13 digit,2008-09-25,,
33,3539788210660560.0,12/26,JCB 16 digit,2002-02-15,,
34,4.9671718131795e+18,08/32,VISA 19 digit,1996-05-12,,
35,2298108746121390.0,08/24,Mastercard,1995-07-25,,
36,60494961125.0,10/30,Maestro,1993-12-04,,
37,180023666498062.0,12/27,JCB 15 digit,2022-06-10,,
38,4.43123389414494e+18,07/24,VISA 19 digit,1999-03-20,,
39,4.84149772152746e+18,08/32,VISA 19 digit,2009-03-17,,
40,370501303017932.0,08/29,American Express,2005-10-24,,
41,4.23049250489314e+18,08/32,VISA 19 digit,2006-10-21,,
42,2403142709184010.0,07/30,Mastercard,2005-11-24,,
43,4657537328403420.0,11/26,VISA 16 digit,2007-08-22,,
44,30491613473029.0,06/26,Diners Club / Carte Blanche,2003-02-18,,
45,4616948564793.0,06/25,VISA 13 digit,1996-10-30,,
46,3591571740856590.0,07/25,JCB 16 digit,1997-09-15,,
47,3556988798175270.0,10/29,JCB 16 digit,2020-10-31,,
48,213140562411642.0,10/32,JCB 15 digit,1995-07-19,,
49,4626678551485460.0,01/28,VISA 16 digit,2017-08-01,,
50,213158078120382.0,02/30,JCB 15 digit,2008-04-13,,
51,3500532548263930.0,10/24,JCB 16 digit,2001-11-30,,
52,379470100454873.0,08/25,American Express,1998-08-29,,
53,30164994068979.0,05/32,Diners Club / Carte Blanche,2011-12-31,,
54,379490150776959.0,07/29,American Express,2021-08-01,,
0,213190263933469.0,08/29,JCB 15 digit,2017-10-12,,
1,6011068886437620.0,03/28,Discover,2020-01-04,,
2,2271505555252090.0,07/26,Mastercard,2009-03-30,,
3,3526412328727340.0,09/27,JCB 16 digit,2018-05-01,,
4,4295098923784.0,06/26,VISA 13 digit,2006-04-12,,
5,3529098307191900.0,03/31,JCB 16 digit,2002-04-23,,
6,30248249809947.0,10/27,Diners Club / Carte Blanche,2015-10-08,,
7,3508736469505230.0,01/26,JCB 16 digit,1997-02-25,,
8,30352659108269.0,01/24,Diners Club / Carte Blanche,1998-05-26,,
9,340645557658672.0,12/23,American Express,2022-08-02,,
10,676260863680.0,11/28,Maestro,2013-08-29,,
11,4905116257201470.0,09/23,VISA 16 digit,1999-02-08,,
12,6011894819741660.0,10/32,Discover,1993-06-23,,
13,3519283869722460.0,08/28,JCB 16 digit,2020-09-14,,
14,4745631491520410.0,08/31,VISA 16 digit,2005-08-20,,
15,370459226215671.0,03/28,American Express,1993-11-02,,
16,6576871080863920.0,01/29,Discover,2014-06-04,,
17,30099411786813.0,11/25,Diners Club / Carte Blanche,2022-09-16,,
18,345488364458282.0,01/27,American Express,2012-02-28,,
19,4.18736262796806e+18,05/29,VISA 19 digit,2021-12-16,,
20,5311962453462050.0,04/26,Mastercard,1997-08-02,,
